id,enabled,pattern,colorA,colorB,colorC,shellColor,shellGlow,strength,pigment,coverage,scale,sparkColor,notes
electric,,veins,#ffd83a,#fff2b0,#ffffff,#1b2230,0.15,2.6,0.55,0.34,0.34,,"The charged boss. Yellow into white along branching filaments - the one look authored so far, and the shape the rest of the file should copy. sparkColor is BLANK on purpose: blank takes the aura ring's own colour, which is what keeps the body and the boundary the same fight. strength 2.6 over a pigment preset is what lifts a painted hide into something lit; pigment 0.55 keeps half the animal's own paint underneath so it still reads as a shark."
lunge,FALSE,,,,,,,,,,,,"Unwritten. A charging body wants heat in the leading edge rather than an all-over glow - probably `flow` with a warm ramp, low coverage."
teleport,FALSE,,,,,,,,,,,,"Unwritten. void-purple, and the interesting version is a look that is mostly ABSENT - low coverage, high strength, so the body reads as holes."
phase,FALSE,,,,,,,,,,,,"Unwritten. Same palette as teleport and it must not look the same; phase is about the whole silhouette thinning, so shellGlow is the lever, not coverage."
giant,FALSE,,,,,,,,,,,,"Unwritten, and possibly should stay that way - `giant` already says what it is with scale alone, and a look on top would be two announcements of one fact."
swift,FALSE,,,,,,,,,,,,"Unwritten. Same argument as giant."
eyebeam,FALSE,,,,,,,,,,,,"Unwritten. The eyes are already the tell (CONFIG.biolumSkin eyeStrength) - a look here should raise THAT and leave the body alone."
barrels,FALSE,,,,,,,,,,,,"Unwritten. blast-orange."
spitfish,FALSE,,,,,,,,,,,,"Unwritten."
finfish,FALSE,,,,,,,,,,,,"Unwritten."
turtles,FALSE,,,,,,,,,,,,"Unwritten."
saddle,,flow,#6a3fb5,#c9a2ff,#f0e4ff,#140f22,0.2,2.4,0.5,0.32,0.3,,"Lorenz's butterfly, worn. `flow` is domain-warped fbm - ink pulled through water - which is the one pattern in the family that reads as two lobes with a crossing between them, and the crossing is the whole study. The palette is the ring's void purple: the field the boss is about to open and the body it opens around are one colour, so a crab that has become the middle of a storm is legible as that before the first cube arrives. sparkColor left blank, which takes the aura's own colour."
ring,,pulse,#2f7f9c,#bdf5ff,#ffffff,#101b22,0.25,2.5,0.5,0.3,0.28,,"Aizawa down its own axis - a ring with a hollow middle - so the body wears travelling waves rather than a static marking. `pulse` runs head to tail, which on a crab reads as a pressure moving outward through the shell, and it is the closing the perk does made visible on the animal. Chill blue, the ring's own."
echo,,spots,#2f6a1c,#7dff3d,#e6ffd0,#10180e,0.18,2.3,0.55,0.26,0.22,,"The paired-seed study. Discrete photophores rather than a field, because the perk's whole claim is that things arrive in PAIRS a hair apart and end up on opposite wings - a continuous pattern says nothing about separation, and dots do. Small scale for the same reason: a lot of them, each its own event. Venom green, the ring's own."
release,,marble,#a83218,#ff6a4a,#ffd9c8,#1e1210,0.22,2.7,0.45,0.36,0.3,,"The one that DRAWS its streamlines and then fires down them. `marble` is turbulence-folded veining, which is a drawn line that has been pulled about by the same kind of flow - the telegraph's shape living on the body between volleys. Highest strength of the four because this perk's tell is the brightest thing it does. Beam orange, the ring's own."
