id,enabled,weight,cooldown,windup,duration,speed,radius,range,count,mul,damage,damagePerDifficulty,attack,notes
lunge,,1,5.5,0.7,0.9,34,,,,,2,,kinetic,"Winds up in place, then dashes. speed=dash u/s, damage=contact multiplier while dashing."
electric,,1,,,,,9,,,,16,,electric,"A permanent crackling field. radius=aura reach in world units, damage=dps inside it."
teleport,,0.9,7,0.45,0.35,,13,,,,,,void,"Blinks out and back in near the player. radius=how far from the player it lands, duration=time spent gone."
phase,,0.9,9,0.5,3.5,,,,,,,,void,"Goes near-invisible. duration=seconds unseen, windup=the flicker on either side of it."
giant,,0.7,,,,,,,,1.5,,,,"Arrives half again as big. mul scales the model, the hitbox and the mass together — a wall you cannot swim around, and a target nothing can miss."
swift,,0.7,,,,,,,,1.35,,,,"Swims and turns a third faster. mul scales speed AND turn rate, so it corners as well as sprints — a fast boss that still turned like a barge would just be easier to kite."
eyebeam,,1,3.0,0.7,0.9,,,26,2,,1.2,0.11,beam,"One PERSISTENT beam per eye, welded to the head and sweeping as it turns — not a shot. duration=how long it burns, damage=per TICK of contact (see CONFIG.beams.tickEvery, so ~8/s of standing in it), count=beams, range=how close you have to be, windup=the eyes charging. speed is unused: a beam has no travel. THE ONLY RAMPED PERK IN THE FILE. A tick was a flat 5, which is ~42/s in the line and, with two beams that converge near the head, up to double that — most of a starting bar per burn on the SECOND boss of a run, the earliest one that can roll a perk. Nothing else the boss does is flat like that, so the laser was at its most punishing at the exact moment the player had the fewest upgrades to answer it with. It now opens at 1.2 a tick and reaches the old 5 around the fifth boss, passing it after: same fight, arriving when the player has a build to meet it."
barrels,,0.95,4.6,0.6,2.2,12,3.4,22,2,,20,,blast,"Lobs floating barrels that go off on a fuse or on contact. radius=blast, duration=fuse seconds, speed=throw u/s."
spitfish,,1,1,0.35,,17,,25,5,,9,,kinetic,"Spits swallowed fish back at you, from the mouth. count=fish per volley, speed=u/s."
finfish,,0.95,3,0.4,,15,,20,4,,7,,kinetic,"The same fish, from the fins instead — two origins, a wider fan, more of them. count is the volley TOTAL, split between the fins."
turtles,,0.9,6,,14,3,5,,3,,,,,"Keeps a screen of sea turtles between itself and you. count=how many, radius=how far off the boss they hold station, duration=how long each one stays, speed=how fast they reposition."
saddle,,0.85,7,0.9,5,,,30,,,7,0.09,void,"Lorenz's butterfly, opened around the boss — see attractorStorms.csv. Cubes orbit one wing then cross to the other through the middle, which is where the boss is standing, so the water directly on it is the one place the pattern keeps sweeping. duration=seconds the field stays open, range=how close you must be for it to open at all."
ring,,0.85,8,0.8,4.5,,,26,,,6,0.08,chill,"Aizawa seen down its own axis: a ring with a hollow middle and a fast rim, riding the boss. It does not close on its own here — the animal swimming at you IS the closing, which is why the same study walks its own anchor when the panel stages it loose and does not when a boss fires it."
echo,,0.8,6.5,0.7,6,,,30,,,5,0.07,venom,"The paired-seed study: cubes arrive two at a time a hair apart and end up on opposite wings. Longer duration than the others because the whole point is the SEPARATION, and a field that closes before the pairs have split is a boring double bullet."
release,,0.8,9,1.1,6,,,34,,,8,0.1,beam,"Draws its streamlines in the water first and only then fires down them, at nearly twice anything else's speed. The longest windup here on purpose: the drawing IS the tell, and this perk's whole claim is that a very fast curved shot is fair when its curve was shown first."
