id,text,review,group,notes
tipNext,Next,,upgrade tip,"Row heading over the measured effect of the stack you would be taking. Read while a level-up card is up, or while hovering a hexagon in the hive. Two words at most — it sits in a 9-character column beside the measurement."
tipTotal,Current,,upgrade tip,"Row heading over the running total across the stacks already held (""+112% fire rate""). Has to read as ""where you are now"" against the row above it, which is ""what one more buys"". Same 9-character column."
tipRun,This run,,upgrade tip,"Row heading over what the ability has actually done this run — damage, kills, or times it went off. Same 9-character column."
tipDealt,dealt,,upgrade tip,"Unit after a damage figure in that row: ""412.1k ___"". One word."
tipKills,kills,,upgrade tip,"Unit after a kill count: ""380 ___"". One word, and it has to work at 1 as well as at 380."
tipFired,fired,,upgrade tip,"Unit after a count of times a damageless ability went off — a beluga bubble, a charm, a freeze, a net haul: ""7 ___"". One word, same 1-and-many problem."
tipCapped,Max,,upgrade tip,"Replaces the whole ""next"" row on a stack that has hit its maxStacks. Says ""there is no next one"", not ""this is broken"". One or two words."
tipQuiet,Nothing yet,,upgrade tip,"Fills the ""this run"" row when the ledger has a zero for an ability the player IS holding. It is a real fact and the tip says it out loud rather than hiding the row — so it should read as an honest nothing, not as an error. Two or three words."
finPanelTitle,Flippers,,score screen,"The section heading over the fin split in the run summary's weapons breakdown, with a damage figure beside it. Sits under the same eye as ""Weapons"" and ""What killed you"", so it wants their register — one or two words naming the pair of flippers as a source of damage."
buildStripLabel,Your upgrades,,score screen,"The heading over the score screen's rail on a run with NO kill shots — the rail is still there holding the hive of upgrades, and Ethan's ""Kill shots"" would be the screen getting a fact wrong about the run. Two or three words, same size as ""Kill shots""."
hiveSlotLabel,Your Build Hive,,score screen,"The screen reader's name for the hexagon block on that rail, read aloud in place of a picture. Has to say what the thing IS and that pressing it opens it. A short phrase, not a sentence."
hiveViewClose,Close the hive,,score screen,"The accessible name on the ✕ that shuts the full-screen build sheet. Never seen — read aloud. Matches how the kill-shot sheet's own close button is named."
savedAs,Saved,,score screen,"What the share/save row says after the DESKTOP shell saved through a real file dialog — the player chose where it went, so ""Saved to your downloads"" (the phone wording, beside this one) would be a guess and usually wrong. Two or three words, same voice as ""Shared"" and ""Nothing to share""."
clapAction,Clap,,pause menu,"The name of the clap action in the key-rebinding list, beside ""Charge strike"" and ""Pause"". What the player DOES, two words at most; the hardware hint (""X / Square"") is separate and already written."
boostMeterRing,On player,,pause menu,Option name in the Boost meter picker. Already yours — here because its three options belong in one place.
boostMeterBar,HUD,,pause menu,Option name in the Boost meter picker. Already yours — here because its three options belong in one place.
boostMeterBoth,Both,,pause menu,"The third option in the Boost meter picker, meaning BOTH of the two above are drawn at once. It is also the default. One or two words, matching the register of the two beside it."
upgradeTipsLabel,Details,,pause menu,"The pause-menu row that sets how much a hovered upgrade tells you. Fits one line at 375px wide, so two or three words."
upgradeTipsHint,Verbosity of tooltips,,pause menu,"The grey line under that row. One short sentence saying what the setting changes, in the voice of the hints beside it (""How the strike fuel is drawn"")."
upgradeTipsOff,Off,,pause menu,"First of three option names. Means no tip anywhere — the level-up cards read as name and desc and nothing else. One word."
upgradeTipsShort,Short,,pause menu,"Second option: the name, and what the stack you are being offered does. The question at the moment of a pick, nothing else. One word."
upgradeTipsFull,Xtra Verbose,,pause menu,"Third option and the default: adds the running total across the stacks held and what the ability has done this run. One word."
finLeft,Left fin,,level-up card,"Which flipper the Flippers Up! card is about to feed, appended to the card's title — the one thing {effect} cannot measure. Two words at most, and it fills the slot a stack number fills on every other card."
finRight,Right fin,,level-up card,"The other flipper, same slot. The pair has to read as a pair; whichever way ""left"" is written, this is its twin."
accessoryDrawerTitle,Accessories,,accessory drawer,"Heading over the strip of accessories on the main menu — the drawer of things the seal can wear. Two words at most; it sits above a row of small tiles on a screen that already has Play on it, so it has to name the drawer without competing with the buttons."
accessoryDrawerEmpty,Accessory,,accessory drawer,"Shown in the drawer when the player has unlocked nothing yet. Has to read as ""there will be things here"" rather than as an error. One short sentence, five or six words."
accessoryBare,Naked,,accessory drawer,"The first tile in the drawer: wearing nothing. Sits beside the hat and the glasses as an equal choice, so it needs a name rather than a dash. One or two words."
accessoryHatName,Sailor,,accessory drawer,"The captain's cap, as the player sees it on its tile and when it is put on. Two words at most — the tiles are small and the name sits under the picture."
accessoryGlassesName,Deal With It,,accessory drawer,"The pixel sunglasses, same tile. Two or three words; it is the funnier of the two and the drawer is where the joke lands."
accessoryBowlerName,Bowler,,accessory drawer,"A bowler hat with a pair of brass goggles strapped to the band, on its tile and when it goes on. Two words at most — the tiles are 64px wide and the name wraps to two lines if it runs long. It sits in a row beside the other two hats, so the three have to be tellable apart by name alone."
accessoryTricornName,Pirate,,accessory drawer,"The pirate tricorn — three-cornered, worn point forward. Same tile, same two-word ceiling. The most obviously costume-y thing in the drawer."
accessoryFedoraName,Fedora,,accessory drawer,"A brown felt fedora, brim turned down at the front. Same tile. Two words at most, and it has to read as a different hat from the other two rather than as a third word for ""hat""."
accessoryRoundsName,Spectacles,,accessory drawer,"Round spectacles in thick wooden frames — reading glasses rather than shades. Two or three words; it shares the row with two pairs of sunglasses, so the name is what says these are the ones you can see through."
accessoryAviatorsName,Aviators,,accessory drawer,"Gold-wire aviators with a green tint. Same tile, two words at most."
accessoryWireFramesName,Cute Glasses,,accessory drawer,"Small round gold wire frames with near-black lenses. Same tile. Two or three words, and it has to be distinguishable from the aviators, which are also gold wire — the difference the player sees is round versus teardrop, and small versus wide."
accessoryHardHatName,Hard Hat,,accessory drawer,"A builder's hard hat, on its tile and when it goes on. Two words at most — the tiles are small and the name sits under the picture. It shares the row with five other hats, so it has to be tellable apart from them by name alone."
accessoryCowboyName,Cowboy,,accessory drawer,"A cowboy hat. Same tile, same two-word ceiling."
accessoryWizardName,Wizard,,accessory drawer,"A pointed wizard's hat. Same tile. Two words at most."
accessorySharkHoodName,Shark Hood,,accessory drawer,"A shark-head hood the seal wears pulled over its own head — the joke being what a seal is to a shark. Same tile, two or three words; it is the most costume-y thing in the drawer and the name should know it."
accessoryUshankaName,Trapper Hat,,accessory drawer,"A trapper's ushanka with the ear flaps hanging down. On its tile and when it goes on. Two words at most — the tiles are small and the name sits under the picture. It is the only hat in the drawer with anything hanging off it, which is the thing to name."
accessoryStetsonName,Croc Hunter,,accessory drawer,"A cowboy hat: crown pinched down the middle, both sides of the brim rolled up hard, a tooled leather band. Same tile, two-word ceiling. THE HARD ONE — accessoryCowboyName is already Cowboy"" and this is the more obviously cowboy of the two"
accessoryBobbleName,Beanie,,accessory drawer,"A knit beanie with a pom pom on top. Same tile, two words at most. Warm and ordinary next to a jester hat and a shark hood, which is its whole character in the row."
accessoryClocheName,Cloche,,accessory drawer,"A cloche — a deep bell-shaped crown, short brim turned down, a bow on one side with two ribbons hanging from it. 1920s. Same tile, two words at most; it is the most elegant thing in the drawer."
accessoryJesterName,Jester,,accessory drawer,"A three-horned jester hat with a bell on the end of each horn, worn enormous — the horns span wider than the seal is long. Same tile, two or three words; it is the loudest thing in the drawer and the name can be."
accessoryShortHairName,Bob,,accessory drawer,"Not a hat: HAIR. A layered short cut, worn by a seal. Same tile, two words at most. It is the first thing in the drawer that is not headwear, so the name has to say hair rather than sound like another hat."
accessoryBobHairName,Anime Hair,,accessory drawer,"Not a hat: HAIR. A side-swept bob, swept across the face on one side. Same tile, two words at most. It shares the row with the short cut, so the two have to be tellable apart by name — the difference the player sees is long and smooth against short and spiky."
loadResuming,Resuming,,loading,
mainMenuButton,Main Menu,,pause menu,
versusWinner,Champion!,,versus,"Centre-screen line under the winning score at the end of a two-player match, first to 5 goals. Two or three words at most, read for about three seconds while the water is frozen; the number above it says who won, so this only has to feel like a whistle."
