event,takes,gain,delay,minGap,notes
shuffle,,1,0,0,"the first deal's shuffle. STUB: nothing cast yet; add takes (bank ids, | between) and it plays"
redeal,hg-cards-050,1,0,0,a re-deal (N, the button)
flip,hg-cards-010|hg-cards-016|hg-cards-017|hg-cards-021,0.3,0.22,0,"a card turned face up: uncovered on the tableau (delayed 0.22s so it follows the run landing), or pulled off the deck. Gain 0.3 — the most frequent sound after `grab`, and it stacks under `play` on almost every move, which is what made the pair too loud. FOUR TAKES ON PURPOSE: it fires on nearly every move, so one sample wears out fast. hg-fly-metal-knife-strife held this row for a pass and is uncast now — at 0.95s against these four at ~0.27s it was still sounding most of a second after the card had settled, and two quick moves overlapped it with itself."
grab,hg-cards-012,0.25,0,0,"a card picked up — the most frequent sound at the table, so it is the one that wears out first. Gain 0.25: it should register as a touch, not an event. ONE take, not two: hg-cards-013 was the harsh one (94% of its energy above 4kHz against 012's 56%, before the bank-wide low-pass) and three times as long."
play,hg-cards-014|hg-cards-018|hg-fly-boggle,0.35,0,0,"a run landed in a valid tableau spot. Gain 0.35. THREE takes now: boggle is Ethan's Foley, cast BESIDE the two card-pack takes rather than over them, so a landing is one of three rather than one of two. It is the long one of the three at 0.41s against 0.14 and 0.24. It rarely sounds alone: a landing usually uncovers a card, so `flip` follows it 0.22s later and the two are heard as one gesture — set them together or the pair gets loud while each looks reasonable."
invalid,hg-fly-scrape-sandlot,1,0,0,"dropped on a pile that refuses it. Ethan's Foley (HG_FLY_Scrape_Sandlot). It replaces hg-cards-069 outright — that take ran 1.501s and rang on well after the card had sprung back, which read as the game still thinking about it. 0.51s after the trim."
foundation,hg-ui-blip-menu-spat,1,0,0,"a card landed on the top row (drag or click) — Ethan's pick, from the HGUI pack. It replaces hg-cards-071, which ran 3.512s: the longest take in the bank, still sounding several moves after the card had landed. GAIN 1, untouched, so this is now ~3x every event that has been brought down (grab 0.25, hover 0.2, flip 0.3, play/tankWall 0.35) alongside redeal, invalid and recycle."
foundationSend,hg-ui-blip-noah,1,0,0,"a card SENT to the foundation by double-clicking it, as against dragged there — Ethan's pick. Its own event because the two are different gestures: a drag ENDS on the foundation and a double-click never touches it, so they should not share a sound. Same gain as `foundation`; both still at 1 while the rest of the table sits at 0.2-0.35."
recycle,hg-cards-003|hg-cards-005|hg-cards-008|hg-cards-054,1,0,0,the empty stock takes the waste back: the shuffle takes
hover,hg-fly-trashbeach-10,0.2,0,0.3,"the deck's fan rising — Ethan's Foley (HG_FLY_trashbeach_10), after a pass on cokehat and before that hg-ui-blip-mack. A blip, not a swell: 0.14s after the trim, the shortest thing that has held this row, so it is well over before the fan is up and the 60ms chokeHover() on fan-drop or click will have nothing left to catch. It also needed almost no make-up gain (peak 0.452, x2.0) where cokehat needed x26 — so it brings no noise floor up with it, which matters here because this blip fires onto near-silence. Gain 0.2. The bank-wide low-pass (sfxLowpass) is already on it — do not stack another."
hoverAura,,0.08,0,0,"THE DECK'S AURA — a quiet bed under `hover`, held for as long as the pointer is on the deck and relaid end-to-end as a loop, where `hover` is one blip on the edge. STUB: no takes cast, so nothing plays. Wants a seamless sustained take, ideally a second or more — a relay gap is one frame, and a short take makes that gap a pulse. Gain 0.08 is a guess at ""under everything else""; it is the level that decides whether this reads as the deck being alive or as a hum, so it is the number to set first. The bank-wide low-pass is already on it."
tankWall,eg-flickplop-01|eg-flickplop-02|eg-flickplop-03|eg-flickplop-04|eg-flickplop-05|eg-flickplop-06|eg-flickplop-07|eg-flickplop-08|eg-flickplop-09|eg-flickplop-10|eg-flickplop-11|eg-flickplop-12|eg-flickplop-13|eg-flickplop-14|eg-flickplop-15|eg-flickplop-16,0.35,0,0,"THE DEFAULT KNOCK — a body hitting the tank glass, all sixteen flick-plops so a rattling school does not stutter one sample. GAIN 0.35: this is the only event that fires without the player doing anything, and at 1 a drag turned the table into a rattle. The level on top of it is the impact speed, so a hard knock still reads. A card can name a heavier event instead in tanks.csv `knock`."
reactSpin,seal-boost-01-distant|seal-boost-02-distant|seal-boost-03-distant|seal-boost-04-distant,0.15,0,0,"the seal answering a play with a full turn. Survivor's `strike` set — the boost takes, which is what that spin is: the animal driving itself round. Fires alongside `play`, gated by T.reactChance; the variant name comes from react.luau."
reactBarrel,seal-boost-02-distant|seal-boost-04-distant,0.15,0,0,"a barrel roll about the spine. The two shortest boost takes; the move is 1.2s and the long ones outlast it. Fires alongside `play`, gated by T.reactChance; the variant name comes from react.luau."
reactFlip,seal-breach-01-distant|seal-56-distant,0.15,0,0,"a somersault toward the viewer — the one move that reads as leaving the water, so it gets Survivor's `breach` set. fluteseal-01 is in that set there and is NOT here: its attack is a swell, and through the `distant` reverb the onset falls under the trim's gate — 17ms late, a frame behind the card, which npm run test:sealitairesfx fails on. Fires alongside `play`, gated by T.reactChance; the variant name comes from react.luau."
reactClap,seal-wa-01-distant|seal-wa-02-distant,0.15,0,0,"flippers raised and brought together three times. The short calls: a clap wants a bark over it, not a whoosh. Fires alongside `play`, gated by T.reactChance; the variant name comes from react.luau."
