species,chain,role,bones,notes
greatwhite,tail,tail,Bone003_Armature_5|Bone002_Armature_4|Bone004_Armature_3,"THE RIGS a contact may shove. A species named here has its SKELETON baked into fish.mesh (joints, weights, the parent of each bone and its rest transform) instead of being flattened onto one identity bone; a species with no row bakes exactly as it always did and reacts through the vertex dent alone. One row per chain, root first, tip last. `bones` is the chain's bone names separated by |, copied VERBATIM from the springChains of path/src/assets.js — the same rigs, already measured and tuned against these same .glb files. The names there are the ones GLTFLoader produced, which have had their DOTS STRIPPED: the raw node in greatwhite.glb is `Bone.003_Armature_5`. The baker matches on the stripped spelling so either form resolves, and it FAILS on a name that misses rather than dropping the chain, because a silently dropped chain is how the orca cow lost her whole dorsal on half of all boss arrivals. `role` is what the chain is for and what its looseness is keyed on: a `tail` is the body's own run of spine, a `fin` is a control surface that should lag rather than stream"
greatwhite,pecL,fin,Bone011_Armature_22|Bone013_Armature_21|Bone015_Armature_20,
greatwhite,pecR,fin,Bone012_Armature_25|Bone014_Armature_24|Bone016_Armature_23,
greatwhite,dorsal,fin,Bone009_Armature_28|Bone010_Armature_27,
megalodon,tail,tail,spine002_01|spine001_02|spine_03|back_finTBk_04|back_finT001Bk_05|back_finT002Bk_06,
megalodon,lowerCaudal,fin,back_finBBk_07|back_finB001Bk_08,
megalodon,pecL,fin,shoulderL_018|side_finL_019|side_finL001_020,
megalodon,pecR,fin,shoulderR_021|side_finR_022|side_finR001_023,
megalodon,dorsal,fin,top_fin_024|top_fin001_025,
mightymeg,tail,tail,Spine_04_03|Tail_01_04|Tail_02_05|Tail_03_06|Tail_04_07|Tail_05_08,
mightymeg,caudal,fin,Tail_06_09|Tail_07_010,
mightymeg,pecL,fin,Fin_L_01_013|Fin_L_02_014,
mightymeg,pecR,fin,Fin_R_01_015|Fin_R_02_016,
mightymeg,dorsal,fin,Fin_01_011|Fin_02_012,
hammerhead,tail,tail,Torso2|Torso3|Torso4|Tail1|Tail2,
hammerhead,pecL,fin,Fin_L1|Fin_L2,
hammerhead,pecR,fin,Fin_R1|Fin_R2,
dolphin,tail,tail,pelvis_017|tail00_018,
dolphin,flukeL,fin,leg_L_019|foot_L_020,
dolphin,flukeR,fin,leg_R_021|foot_R_022,
dolphin,pecL,fin,shoulder_L_011|arm_L_012|hand_L_013,
dolphin,pecR,fin,shoulder_R_014|arm_R_015|hand_R_016,
orca_female,tail,tail,Spine8|Spine9|Spine10|Tail_01|Tail_02,
orca_female,dorsal,fin,Dorsal_Fin1|Dorsal_Fin2|Dorsal_Fin3|Dorsal_Fin4,
orca_female,pecL,fin,Shoulder_L|Fin_L1|Fin_L2|Fin_L3,"the orca's two flippers are BOTH called L in the rig; Shoulder_L1 is the right one. Copied as it is rather than corrected, because the name is the model's"
orca_female,pecR,fin,Shoulder_L1|Fin_L5|Fin_L6|Fin_L7,
orca_male,tail,tail,Spine8|Spine9|Spine10|Tail_01|Tail_02,"the two orcas were cut from one family file and share a rig, so they share their chains"
orca_male,dorsal,fin,Dorsal_Fin1|Dorsal_Fin2|Dorsal_Fin3|Dorsal_Fin4,
orca_male,pecL,fin,Shoulder_L|Fin_L1|Fin_L2|Fin_L3,
orca_male,pecR,fin,Shoulder_L1|Fin_L5|Fin_L6|Fin_L7,
