id,enabled,anchors,count,color,brightness,radiusFrac,notes
bossShark,TRUE,head:u|0:d|tail,,,,,"THREE STATIONS ON THE WORLD-UP AXIS, not on a flank -- see the note on VERTS in bossHotSpotTable.js. The top of the head, the belly and the tail tip: the three places a seal can actually get to on a body that is mostly outline, and the three that stay put when the animal turns round. Written as flanks they would swap on every pass. Measured: 12 bone spheres, 97% covered, standoff 0.24 median. No authored placement: a megalodon is mostly outline, which is the body the weighted roll is good at — it lands two spots on the torso and they read. Turn this row on to pin a colour against the hide, or to name the gills."
bossOrca,TRUE,head:u|0:d|tail,,,,,"The same three as the shark, and deliberately the same: the two animals are read as the same silhouette at speed, so the places a player learns on one must be there on the other. Measured: 12 bone spheres, 93% covered, standoff 0.22 median. Same: plenty of outline and the roll handles it. This is also the ONE hide the mark has never had trouble on (near-black flank, so any bright paint reads), which is why it is the last body to need authoring rather than the first."
bossSquid,FALSE,,,,,,"Left rolling on purpose and it is the row most worth revisiting. The hull covers 62% of the flesh (npm run audit:hitboxes) so hullMatch refuses a lot of the body, and a dead-centre shot paid out on 75% of tries — an anchor here would be aiming spots at places the collision shape cannot honour. Fix the hull first, then author this."
bossCrab,TRUE,0.55:l|0.55:r,,,,,"ITS CLAWS. The one boss whose weak point is a thing the player can name before they are told, and the roll could never find it: the crab collides as a CIRCLE by choice, so there are no fitted spheres for a placement heuristic to prefer and every spot was a point on a disc. Two anchors, one per flank, level with each other."
bossMosasaur,TRUE,tail,1,,,,"THE TIP OF ITS TAIL, moved here from the weakSpot string on the creature in config.js. The longest body in the game, whose counterplay has always been its turning circle, is a boss you beat by getting BEHIND it — the lunge's own weakness stated as a target. One spot, which is the trade: this animal is longer to chew and has one place to chew it."
bossHammerhead,TRUE,0.85:l|0.85:r|head:u|0:d|tail,,,,,"PLUS THE THREE BODY STATIONS. The two hammer ends are what makes this animal not a shark and they stay; the back, belly and tail tip are the shark's three, so a player who learned that body can read this one. Five anchors is over MAX_SPOTS (4) -- the placer takes them in order, so the hammer wins and the tail is the one that drops when the cap bites. Measured: 8 bone spheres, 99% covered. THE TWO ENDS OF THE HAMMER. The head is the whole reason this animal is not a shark, and it is the part the player is looking at when it turns. Also the worst hull in the roster (standoff 0.63 median, 2.20 at worst) — the wide flats of the cephalofoil are where the fitted spheres and the flesh agree best."
bossBoat,TRUE,-0.75|0.2:u|0.6,,,,,"PLUS THE DECK AND THE BOW. The engine at the stern was the only one, on a hull that is now twice the size it was (sizeMul 1 -> 2, bosses.csv) and had one weak spot over 22 units of boat. `0.2:u` is the deck rather than a flank because a hull does not have flanks a seal can reach -- it has a waterline and a top. THE ENGINE, at the stern. Collides as a circle by choice — see the note on bossBoat in config.js — so the roll had nothing to prefer and put the spot wherever the disc was sampled. One spot, at the end the boat cannot point at you, which gives a hull with no turning circle to speak of the same counterplay the mosasaur has."
bossYacht,TRUE,-0.8|0.3|0.75:u,,,,,"PLUS THE FOREDECK. Stern and bridge were measured off the mesh and stay exactly where they were; the third is the bow end of the top deck, which is the part of this hull a breaching seal actually lands on. STERN AND BRIDGE. Five spheres over a long flat hull, so the roll clustered. THE STATIONS ARE MEASURED, not chosen by eye: npm run audit:hitboxes fires a dead-centre shot at every spot and reports what paid out, and on this hull that number is very sensitive to where along it you aim. -0.6|0.45 read better as a sentence and paid out on 50% of shots, because the bow is where these five spheres fit the hull worst; -0.8|0.3 pays 100% with the worst shot 21% off centre. Re-run the audit after moving either of these."
bossAnglerfish,TRUE,head,1,,,,"THE LURE. The esca is the animal's entire silhouette read and the thing it uses to fish — putting the weak spot on it is the fight saying the bait is the trap. One spot, like the mosasaur, and for the same reason: two would be a second light on a body whose whole read is the one light out front."
bossManOWar,TRUE,-0.35:u|0.35:u,,,,,"ON THE BELL, AND ONLY THE BELL. The float is the top of this animal and the filaments are the rest of it -- a spot hanging off a tentacle is a spot on a thread that is not there next frame. Both anchors name the world-up axis (see VERTS in bossHotSpotTable.js) so they stay on the float when the animal turns, which a flank would not. CAVEAT, and it is the reason this row sat at FALSE: it still collides as a CIRCLE, so `u` orders points on the top of a STAND-IN DISC rather than on the measured bell. That is the right half of the body and not yet the right surface. Measured: fit 4.2 x sizeMul 2.6 = 21.8 units, of which the float is about 12. Give it a real shape and these two anchors start meaning the bell exactly. Left rolling until the bell is measured. It collides as a circle, so an anchor would order points on a disc rather than on the animal, and unlike the crab and the boat there is no obvious end to name — a siphonophore has no head. The colour column is the one worth filling here first: the bell is translucent and pale, which is the hide the mark reads worst on."
